point_id,cell_id,cut,frame,x,y,timestamp,x_pixel_size,y_pixel_size,cut_time,frame_rel,x_parallel,x_perpendicular,cut_length,vx,vy,velocity,v_parallel,v_perpendicular,velocity_cut
0,220530-E1_Out,False,3,368.0,192.0,2731.2288780000003,0.05035490409067586,0.05035490409067586,4,-1,0.7817869415807561,28.094556834222182,93.43446901438462,3.0,0.0,3.0,0.003092783505154628,2.9860500406659014,2.986051642331499
0,220530-E1_Out,False,4,371.0,192.0,2734.0038492080002,0.05035490409067586,0.05035490409067586,4,0,0.7848797250859108,31.080606874888083,93.43446901438462,1.0,1.0,1.4142135623730951,-0.009621993127147732,1.0916742084154905,1.091716611612797
0,220530-E1_Out,False,5,372.0,193.0,2734.999678168,0.05035490409067586,0.05035490409067586,4,1,0.775257731958763,32.172281083303574,93.43446901438462,2.0,1.0,2.23606797749979,-0.0085910652920963,2.0870242219707933,2.0870419041062993
0,220530-E1_Out,False,6,374.0,194.0,2736.0113948880003,0.05035490409067586,0.05035490409067586,4,2,0.7666666666666667,34.25930530527437,93.43446901438462,1.0,0.0,1.0,0.0010309278350515427,0.9953500135552957,0.9953505474438282
0,220530-E1_Out,False,7,375.0,194.0,2737.007223848,0.05035490409067586,0.05035490409067586,4,3,0.7676975945017183,35.25465531882966,93.43446901438462,0.0,-1.0,1.0,0.010652920962199386,-0.09632419486018762,0.09691148146886551
0,220530-E1_Out,False,8,375.0,193.0,2738.003052808,0.05035490409067586,0.05035490409067586,4,4,0.7783505154639176,35.158331123969475,93.43446901438462,0.0,-1.0,1.0,0.010652920962199275,-0.09632419486019472,0.09691148146887256
0,220530-E1_Out,False,9,375.0,192.0,2739.014769528,0.05035490409067586,0.05035490409067586,4,5,0.7890034364261169,35.06200692910928,93.43446901438462,0.0,0.0,0.0,0.0,0.0,0.0
0,220530-E1_Out,False,10,375.0,192.0,2740.010598488,0.05035490409067586,0.05035490409067586,4,6,0.7890034364261169,35.06200692910928,93.43446901438462,,,,,,
1,220530-E1_Out,False,3,306.0,251.0,2731.2288780000003,0.05035490409067586,0.05035490409067586,4,-1,0.08934707903780072,-27.934016509455198,93.43446901438462,-9.0,-1.0,9.055385138137417,0.0013745704467353764,-9.054474316857892,9.054474421195474
1,220530-E1_Out,False,4,297.0,250.0,2734.0038492080002,0.05035490409067586,0.05035490409067586,4,0,0.0907216494845361,-36.98849082631309,93.43446901438462,-2.0,0.0,2.0,-0.0020618556701030855,-1.9907000271106057,1.9907010948876707
1,220530-E1_Out,False,5,295.0,250.0,2734.999678168,0.05035490409067586,0.05035490409067586,4,1,0.08865979381443301,-38.979190853423695,93.43446901438462,-1.0,0.0,1.0,-0.0010309278350515566,-0.9953500135552957,0.9953505474438282
1,220530-E1_Out,False,6,294.0,250.0,2736.0113948880003,0.05035490409067586,0.05035490409067586,4,2,0.08762886597938145,-39.97454086697899,93.43446901438462,0.0,0.0,0.0,0.0,0.0,0.0
1,220530-E1_Out,False,7,294.0,250.0,2737.007223848,0.05035490409067586,0.05035490409067586,4,3,0.08762886597938145,-39.97454086697899,93.43446901438462,-1.0,0.0,1.0,-0.0010309278350515427,-0.9953500135553028,0.9953505474438353
1,220530-E1_Out,False,8,293.0,250.0,2738.003052808,0.05035490409067586,0.05035490409067586,4,4,0.08659793814432991,-40.969890880534294,93.43446901438462,0.0,0.0,0.0,0.0,0.0,0.0
1,220530-E1_Out,False,9,293.0,250.0,2739.014769528,0.05035490409067586,0.05035490409067586,4,5,0.08659793814432991,-40.969890880534294,93.43446901438462,0.0,0.0,0.0,0.0,0.0,0.0
1,220530-E1_Out,False,10,293.0,250.0,2740.010598488,0.05035490409067586,0.05035490409067586,4,6,0.08659793814432991,-40.969890880534294,93.43446901438462,,,,,,
2,220530-E1_Out,False,3,374.0,224.0,2731.2288780000003,0.05035490409067586,0.05035490409067586,4,-1,0.44707903780068736,37.149031151080074,93.43446901438462,3.0,0.0,3.0,0.003092783505154628,2.9860500406659014,2.986051642331499
2,220530-E1_Out,False,4,377.0,224.0,2734.0038492080002,0.05035490409067586,0.05035490409067586,4,0,0.450171821305842,40.135081191745975,93.43446901438462,1.0,0.0,1.0,0.0010309278350515427,0.9953500135552957,0.9953505474438282
2,220530-E1_Out,False,5,378.0,224.0,2734.999678168,0.05035490409067586,0.05035490409067586,4,1,0.45120274914089353,41.13043120530127,93.43446901438462,1.0,0.0,1.0,0.0010309278350515982,0.9953500135553028,0.9953505474438353
2,220530-E1_Out,False,6,379.0,224.0,2736.0113948880003,0.05035490409067586,0.05035490409067586,4,2,0.45223367697594513,42.125781218856574,93.43446901438462,0.0,-1.0,1.0,0.010652920962199275,-0.09632419486018762,0.0969114814688655
2,220530-E1_Out,False,7,379.0,223.0,2737.007223848,0.05035490409067586,0.05035490409067586,4,3,0.4628865979381444,42.029457023996386,93.43446901438462,0.0,-1.0,1.0,0.01065292096219933,-0.09632419486018762,0.0969114814688655
2,220530-E1_Out,False,8,379.0,222.0,2738.003052808,0.05035490409067586,0.05035490409067586,4,4,0.47353951890034374,41.9331328291362,93.43446901438462,0.0,-1.0,1.0,0.01065292096219933,-0.09632419486019472,0.09691148146887256
2,220530-E1_Out,False,9,379.0,221.0,2739.014769528,0.05035490409067586,0.05035490409067586,4,5,0.48419243986254307,41.836808634276004,93.43446901438462,,,,,,
5,220530-E1_Out,False,3,315.0,188.0,2731.2288780000003,0.05035490409067586,0.05035490409067586,4,-1,0.7697594501718215,-25.044290663649488,93.43446901438462,-5.0,-6.0,7.810249675906654,0.05876288659793816,-5.554695236937643,5.555006053290947
5,220530-E1_Out,False,4,310.0,182.0,2734.0038492080002,0.05035490409067586,0.05035490409067586,4,0,0.8285223367697596,-30.59898590058713,93.43446901438462,-1.0,-1.0,1.4142135623730951,0.009621993127147621,-1.0916742084154905,1.091716611612797
